school_hash,school_uid,schoolLabel,schoolCode,zip,match_school_id,match_school_name,match_ratio
b05d981d894e48a406e16cbf4569bd03189d6ea167d66c8b6959de1357cd2f10,94107-Downtown High School,Downtown High School,742,94107,3830064,Downtown High,0.7878787878787878
207e8315081947e3709cbb9774eea5e44da088c3c04b27a7526cee4f69e37084,94124-Dr. Charles R. Drew College Preparatory Academy,Dr. Charles R. Drew College Preparatory Academy,507,94124,6104673,Drew (Charles) College Preparatory Academy,0.8539325842696629
60a350050e3c89b86985b077e912dc9943d844268b666ac4c5e935abb753a49a,94124-Dr. George Washington Carver Elementary School,Dr. George Washington Carver Elementary School,625,94124,6093496,Carver (George Washington) Elementary,0.7228915662650602
0ed559fcbbeff3308211f74f49e706387cca103df04a29a94cda64367c96020b,"94134-Dr. Martin Luther King, Jr. Academic Middle School","Dr. Martin Luther King, Jr. Academic Middle School",710,94134,6059885,King Jr. (Martin Luther) Academic Middle,0.7111111111111111
738229c24453ace4864acebaf3762bda3d700a6d0347cf428cf4fc7d58901de7,94115-Dr. William L. Cobb Elementary School,Dr. William L. Cobb Elementary School,525,94115,6040968,Cobb (William L.) Elementary,0.676923076923077
17950a0df1633277bb2e82111478c3451d9aaab8cc822a1ff11273854c8d005a,94134-E.R. Taylor Elementary School,E.R. Taylor Elementary School,513,94134,6040950,El Dorado Elementary,0.6122448979591837
797c2568e4c71628d72d86379d7282ccc8a65a5aa4f13ea28958ae619f1736e8,94108-Edwin and Anita Lee Newcomer School 李孟賢伉儷新移民學校,Edwin and Anita Lee Newcomer School 李孟賢伉儷新移民學校,476,94108,6040877,Lau (Gordon J.) Elementary,0.19444444444444445
fccddfd1820dac1916d58193dc020c29cadefc02c94b1c69da5b0af74d4496c7,94134-El Dorado Elementary School,El Dorado Elementary School,521,94134,6040950,El Dorado Elementary,0.851063829787234
568184fd450d4b8f03b471332fd6f8ccde191526b86347f5dc11d756a14f31bb,94114-Everett Middle School,Everett Middle School,529,94114,6062038,Everett Middle,0.8
2ae47aac0259a900a96b261d8cad55abc9bb8c3cfddb3608cb23a575d691a8a6,94122-Francis Scott Key Elementary School,Francis Scott Key Elementary School,544,94122,6041008,Key (Francis Scott) Elementary,0.7384615384615385
8ca7e1e98206f4671fc092d5531efe4d9247ff95bc96e84a37af504aa4c2a7a0,94133-Francisco Middle School,Francisco Middle School,546,94133,6059844,Francisco Middle,0.8205128205128205
2bba8082a3560b414862caa77fcb1eef1d9cb743f981c143fda0525d0817580b,94118-Frank McCoppin Elementary School,Frank McCoppin Elementary School,549,94118,6041016,McCoppin (Frank) Elementary,0.6440677966101694
f948b5c086e43e7f885e93a8bd9d3cb8bb7f50388fd0751ab42e10ee76febfb0,94109-Galileo Academy of Science & Technology,Galileo Academy of Science & Technology,559,94109,3831765,Galileo High,0.39215686274509803
2df3c5ce4c5918ecd3938846a58dc21a03371619715f680e96b5bbe5270e58df,94133-Garfield Elementary School,Garfield Elementary School,562,94133,6041040,Garfield Elementary,0.8444444444444444
7bf8821706ea1825185d95428d758107c21ee384bd9f4482ebfe9fa3d1b47b50,94118-George Peabody Elementary School,George Peabody Elementary School,569,94118,6041065,Peabody (George) Elementary,0.6101694915254238
5424c28b588ee21fdabe442486f523daf4135ed16d1aa158b3ad9121a0e44f96,94110-George R. Moscone Elementary School,George R. Moscone Elementary School,723,94110,6099154,Moscone (George R.) Elementary,0.6153846153846154
d04ad02d7f7b611ae7a578c45ee43d893c02fdf927985ce3cee2f10bcd6be0cb,94121-George Washington High School,George Washington High School,571,94121,3839081,Washington (George) High,0.5660377358490566
cd4a6d43eff3711f7004efa274af7425ca201f1dade525128e58556cfea49ee7,94131-Glen Park Elementary School,Glen Park Elementary School,575,94131,6041073,Glen Park Elementary,0.851063829787234
ebc2a954f7487f2fabde1a911d1bf0ef1e2e76fffaffcca712a3dbb8e60192e8,94108-Gordon J. Lau Elementary School 劉貴明小學,Gordon J. Lau Elementary School 劉貴明小學,490,94108,6040877,Lau (Gordon J.) Elementary,0.6349206349206349
88755d6ef2685f7593115256d1bf6e8b3e6c61044b9ecc302dd94911e0bdd107,94117-Grattan Elementary School,Grattan Elementary School,589,94117,6041115,Grattan Elementary,0.8372093023255814
a4e76c55b1471f476a8970f753fc34ec0562abd8d1d172d24aadf012c72ffa15,94112-Guadalupe Elementary School,Guadalupe Elementary School,593,94112,6041123,Guadalupe Elementary,0.851063829787234
004f645fb37cbc79b081d71b7788e33e44214534e2fd350fe1b86c681596839d,94114-Harvey Milk Civil Rights Academy,Harvey Milk Civil Rights Academy,505,94114,6040919,Milk (Harvey) Civil Rights Elementary,0.6666666666666666
5ff7bbf316f58da7a03b4c98f69c7b50a41e1b2d2e14f75aaa40443ddd34f8be,94116-Herbert Hoover Middle School,Herbert Hoover Middle School,607,94116,6059851,Hoover (Herbert) Middle,0.5490196078431373
d3475937a6ca51bf54bd6d7543e3293e84b98478bdbad81a6d5dee3c95ec8894,94134-Hillcrest Elementary School,Hillcrest Elementary School,614,94134,6041156,Hillcrest Elementary,0.851063829787234
44f52e5539233d05da145d53ba818a62a9ae3734ce57d26bbd9c535e2cfcd126,94110-Hilltop + El Camino Alternativo Schools,Hilltop + El Camino Alternativo Schools,616,94110,6041347,Flynn (Leonard R.) Elementary,0.23529411764705882
4a93ab063544b8a733c4f0a5ccb051db32d415d8cc61d64bc90cbb4eb21e7ad5,94117-Ida B. Wells High School,Ida B. Wells High School,743,94117,3830031,Wells (Ida B.) High,0.5116279069767442
3c983bcdf9d15d8bb0872c26b5f591b1acd810fc6f334a17038952ba44d407ba,94122-Independence High School,Independence High School,466,94122,3830197,Independence High,0.8292682926829268
bdf776a1884ab3d54476b92cc4ee52dd3fd1932aabfedbae1434e37fa6b4050f,94112-James Denman Middle School,James Denman Middle School,632,94112,6059869,Denman (James) Middle,0.5531914893617021
b2557ba0858282900265a54f93085c897f56fcc6eabeab08c2d1ca7fa7eafab1,94114-James Lick Middle School,James Lick Middle School,634,94114,6062053,Lick (James) Middle,0.5581395348837209
21080dee2dd5018dfe2393357ee64e9d21febbe932a802b6b7cab5e6cdd774db,94133-Jean Parker Elementary School,Jean Parker Elementary School,638,94133,6041206,Parker (Jean) Elementary,0.6415094339622641
b9ea67e0658444b072448d8aa802fb232244de5dc2d42eb5c54c7f26c899afa5,94122-Jefferson Early Education School,Jefferson Early Education School,948,94122,6041230,Jefferson Elementary,0.5384615384615384
2c156f66f9828ecc661090f87ac174b3c3882d884866accb222f82bf12dbeb16,94122-Jefferson Elementary School,Jefferson Elementary School,644,94122,6041230,Jefferson Elementary,0.851063829787234
5711880f8d391afc0a580e1cfac2c06f5475473c6cb4cb9c838ec4336db83423,94134-John McLaren Early Education School,John McLaren Early Education School,950,94134,6059885,King Jr. (Martin Luther) Academic Middle,0.29333333333333333
aaa2e03b225771a4bc0e809e8c2180f952d64b68a04f32a42a737fd45472fed6,94117-John Muir Elementary School,John Muir Elementary School,650,94117,6041255,Muir (John) Elementary,0.6122448979591837
9fe2415729652e916c30daab2b34ce518b831fb6bf2eeabb7856a32310b5146a,94110-John O'Connell High School,John O'Connell High School,651,94110,3834769,O'Connell (John) High,0.5957446808510638
96521f27311e41387e6569c09c9b778469f266f58fb0d443ac34736bbb540ba6,94133-John Yehall Chin Elementary School,John Yehall Chin Elementary School,872,94133,6113252,Chin (John Yehall) Elementary,0.6984126984126984
